rank,title,author,publisher,pub_date,price,rating
1,나의 첫 번째 부동산 교과서,송희구,서삼독,2026.06.23,20700,9.81
2,싯다르타,헤르만 헤세,민음사,2002.01.20,7200,9.73
3,품격 있는 대화를 위한 지식 브리핑,김진,북플레저,2026.05.06,22500,9.69
4,프로젝트 헤일메리,앤디 위어,알에이치코리아,2026.02.19,19800,9.88
5,니체의 초월자,프리드리히 니체,히읏,2025.10.28,15210,9.81
6,내면 근력,짐 머피,윌북,2026.04.26,19800,9.69
7,안녕이라 그랬어(집에디션 리커버),김애란,문학동네,2025.06.20,15120,9.7
8,부의 갈림길,오건영,포레스트북스,2026.06.10,24300,9.8
9,수족관,유래혁,포스터샵,2024.01.11,15930,9.42
10,모순,양귀자,쓰다,2013.04.01,11700,9.79
11,리치먼드힐의 이층 버스,이경진,북플레저,2026.06.10,17100,9.79
12,자몽살구클럽,한로로,어센틱,2025.07.25,10800,9.33
13,코스모스,칼 세이건,사이언스북스,2010.01.20,19800,9.75
14,포켓몬 생태도감,요네하라 요시나리,대원씨아이,2026.04.29,13500,9.96
15,멜로우TV 팀나빠 1: 나사 빠진 친구들,멜로우TV,학산키즈,2026.05.25,15120,9.67
16,패밀리 레스토랑 가자(하)(완결),와야마 야마,문학동네,2026.06.30,7650,9.93
17,돈의 심리학(50만 부 기념 뉴 에디션),모건 하우절,인플루엔셜,2026.01.14,22320,9.87
18,괴테는 모든 것을 말했다,스즈키 유이,리프,2025.11.18,15300,9.11
19,흔한남매 22,흔한남매,미래엔아이세움,2026.04.29,15120,9.88
20,불안(리커버:K),알랭 드 보통,은행나무,2012.01.04,16200,9.58
21,급류,정대건,민음사,2022.12.22,12600,9.22
22,박곰희 연금 부자 수업(25만 부 기념 리미티드 에디션),박곰희,인플루엔셜,2025.06.25,18900,9.85
23,위버멘쉬,프리드리히 니체,떠오름(RISE),2025.03.14,16020,9.29
24,말하지 않고 말하기,김정운,21세기북스,2026.05.11,21600,9.68
25,김미경의 플러스 휴먼,김미경,어웨이크(AWAKE),2026.05.27,17550,9.71
26,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,2026.01.05,11610,9.7
27,이병한의 대한민국 탐문,이병한,서해문집,2026.06.15,16650,8.2
28,인생을 위한 최소한의 생각,신영준 외,상상스퀘어,2026.02.25,17820,9.74
29,데미안,헤르만 헤세,민음사,2009.01.20,7200,9.62
30,브람스를 좋아하세요,프랑수아즈 사강,민음사,2008.05.02,9000,9.57
31,생존 지능,로이드 블랭크파인,필름(Feelm),2026.06.10,26820,9.72
32,사춘기 엄마의 오장육부,나민애,서교책방,2026.04.20,16020,9.84
33,바다에서 온 소년,개럿 카,북파머스,2026.04.01,17820,9.35
34,혼모노,성해나,창비,2025.03.28,16200,9.23
35,주식투자 무작정 따라하기(2026),윤재수,길벗,2026.01.30,22500,9.49
36,최소한의 세계사,이다지,프런트페이지,2026.05.13,20700,9.86
37,행복할 거야 이래도 되나 싶을 정도로(10만 부 기념 교보문고 단독 리커버),일홍,부크럼,2024.07.29,16200,9.72
38,역사의 쓸모(특별 합본판),최태성,프런트페이지,2025.05.22,31500,9.96
39,체호프 단편선,안톤 체호프,민음사,2002.11.20,8100,9.74
40,무례한 세상에서 나를 지키는 법,발타자르 그라시안,논픽션,2026.03.13,17820,9.58
